,Name,Price,Stores,Rating,Votes,Type,Connection,Colors
0,Philips K264,7.50 ,41,4.7,6,Keyboard Only,USB,0
1,Philips SPT6324 Black,9.99 ,20,4.1,25,Keyboard and Mouse Set,USB,0
2,Philips SPT6224 Black,8.93 ,37,4.7,3,Keyboard and Mouse Set,USB,0
3,Logitech MX Keys,106.44 ,8,4.5,8,Keyboard Only,Bluetooth / USB,0
4,Powertech PT-677,3.99 ,67,2.7,7,Keyboard Only,USB,0
5,Logitech Wireless Combo MK220,23.00 ,42,4.1,134,Keyboard and Mouse Set,USB,0
6,Logitech K120,10.14 ,47,4.4,46,Keyboard Only,USB,0
7,Logitech MK850 Performance,109.99 ,20,4.8,10,Keyboard and Mouse Set,USB,0
8,Powertech PT-913,14.82 ,43,4.3,4,Keyboard and Mouse Set,USB,0
9,Philips SPT6354,10.41 ,37,3.8,6,Keyboard Only,USB,0
10,Element KB-750W,5.26 ,12,4.3,47,Keyboard Only,USB,0
11,Microsoft Sculpt Comfort Desktop,47.99 ,46,4.1,15,Keyboard and Mouse Set,USB,0
12,Dell KM717 Premier,81.34 ,14,4.6,20,Keyboard and Mouse Set,USB,0
13,Powertech PT-678,7.02 ,52,4.0,1,Keyboard and Mouse Set,USB,0
14,Philips SPK6214 Black,6.89 ,37,5.0,1,Keyboard Only,USB,0
15,Logitech Wireless Combo MK270,27.99 ,30,4.2,57,Keyboard and Mouse Set,USB,0
16,Dell KB-522,17.35 ,15,4.7,37,Keyboard Only,USB,0
17,Microsoft Wireless Desktop 900,40.85 ,19,4.4,37,Keyboard and Mouse Set,USB,0
18,Conceptum KBW03,13.48 ,10,4.4,19,Keyboard and Mouse Set,USB,0
19,Powertech PT-915,13.18 ,48,0.0,0,Keyboard and Mouse Set,USB,0
20,Microsoft All-in-One Media Keyboard,34.89 ,24,4.3,35,Keyboard with Touchpad,USB,0
21,NOD KBD-004,5.80 ,46,3.3,12,Keyboard Only,USB,0
22,Apple Magic Keyboard,104.87 ,13,4.4,19,Keyboard Only,Bluetooth,0
23,Riitek Rii i4,27.00 ,2,4.7,9,Keyboard with Touchpad,Bluetooth,0
24,Element KB-255WMS,8.90 ,34,3.0,2,Keyboard and Mouse Set,USB,0
25,Powertech PT-914,13.95 ,40,0.0,0,Keyboard and Mouse Set,USB,0
26,Factory QY-K07,9.90 ,11,5.0,2,Keyboard with Touchpad,USB,0
27,Powertech PT-696,13.27 ,45,3.3,3,Keyboard and Mouse Set,USB,0
28,Philips SPT6103,22.00 ,4,4.6,9,Keyboard and Mouse Set,USB,0
29,Philips SPT6234,7.91 ,32,0.0,0,Keyboard and Mouse Set,USB,0
30,Riitek i8,17.50 ,6,4.2,112,Keyboard with Touchpad,USB,0
31,Microsoft Wireless Desktop 850,32.90 ,24,3.9,18,Keyboard and Mouse Set,USB,0
32,A4Tech F1010,14.00 ,32,0.0,0,Keyboard and Mouse Set,USB,0
33,Philips SPT6214 Black,10.36 ,33,4.0,1,Keyboard and Mouse Set,USB,0
34,MediaRange MROS105,15.87 ,9,4.3,16,Keyboard and Mouse Set,USB,0
35,Powertech PT-302,5.90 ,47,2.5,2,Keyboard Only,USB,0
36,Dell KB216 Black,10.00 ,34,4.6,80,Keyboard Only,USB,3
37,Logitech K400 Plus Black,33.90 ,43,4.3,62,Keyboard with Touchpad,USB,2
38,HP Pavilion Wireless Keyboard and Mouse 800 Black,44.90 ,9,5.0,10,Keyboard and Mouse Set,USB,2
39,HP Pavilion Wireless Keyboard and Mouse 800 White,44.90 ,12,5.0,10,Keyboard and Mouse Set,USB,2
40,Logitech K380 Grey,44.00 ,13,4.7,39,Keyboard Only,Bluetooth,3
41,Logitech K480 Black,47.99 ,15,4.8,18,Keyboard Only,Bluetooth,2
42,Apple Magic Keyboard with Numeric Keypad White,135.95 ,18,4.6,7,Keyboard Only,Bluetooth,2
43,Alcatroz Xplorer Dock 2 BT Green,34.60 ,4,4.9,7,Keyboard with Touchpad,Bluetooth / Dock,2
44,Dell KM636 Black,24.75 ,30,3.7,19,Keyboard and Mouse Set,USB,2
45,Dell KB216 White,12.90 ,0,4.6,80,Keyboard Only,USB,3
46,HP Pavilion 600 Black,32.90 ,10,4.0,15,Keyboard Only,USB,2
47,Apple Magic Keyboard with Numeric Keypad Black,162.90 ,9,4.6,7,Keyboard Only,Bluetooth,2
48,Logitech Illuminated Keyboard K740,88.10 ,11,5.0,3,Keyboard Only,USB,0
49,A4Tech Fstyler Sleek FK10,9.70 ,31,0.0,0,Keyboard Only,USB,0
50,Trust Ziva Multimedia,8.29 ,9,5.0,2,Keyboard Only,USB,0
51,A4Tech FG1010,19.00 ,32,0.0,0,Keyboard and Mouse Set,USB,0
